election_date,election_desc
2016-03-15,03/15/2016 PRIMARY
2016-06-07,06/07/2016 CONGRESSIONAL PRIMARY
2016-11-08,11/08/2016 GENERAL
2017-09-12,09/12/2017 MUNCIPAL PRIMARY
2017-09-12,09/12/2017 SCHOOL BOARD PRIMARY
2017-10-10,10/10/2017 ATLANTIC BEACH MUNICIPAL
2017-10-10,10/10/2017 BURLINGTON PRIMARY
2017-10-10,10/10/2017 CITY OF HENDERSON MUNICIPAL ELECTION
2017-10-10,10/10/2017 DH MUNICIPAL
2017-10-10,10/10/2017 ERWIN MUNICIPAL
2017-10-10,10/10/2017 HICKORY MUNICIPAL PRIMARY
2017-10-10,10/10/2017 HICKORY PRIMARY
2017-10-10,10/10/2017 MUNICIPAL
2017-10-10,10/10/2017 MUNICIPAL AND SECOND PRIMARY
2017-10-10,10/10/2017 MUNICIPAL GENERAL
2017-10-10,10/10/2017 MUNICIPAL PRIMARY
2017-10-10,10/10/2017 ROCKY MOUNT MUNICIPAL
2017-10-10,10/10/2017 SP NON PARTISAN PRIMARY
2017-11-07,11/07/20117 KITTRELL/MIDDLEBURG/MUNICIPAL RUNOFF
2017-11-07,11/07/2017 ANGIER COATS AND LILLINGTON MUNICIPAL
2017-11-07,11/07/2017 GENERAL
2017-11-07,11/07/2017 GENERAL MUNICIPAL
2017-11-07,11/07/2017 MUNI AND SANI DISTRICT
2017-11-07,11/07/2017 MUNICIPAL
2017-11-07,11/07/2017 MUNICIPAL  GENERAL
2017-11-07,11/07/2017 MUNICIPAL AND BOARD OF EDUCATION
2017-11-07,11/07/2017 MUNICIPAL AND SCHOOL
2017-11-07,11/07/2017 MUNICIPAL ELECTION
2017-11-07,11/07/2017 MUNICIPAL ELECTIONS
2017-11-07,11/07/2017 MUNICIPAL GENERAL
2017-11-07,11/07/2017 MUNICIPAL TOWN OF ROB/LS/FONTANA
2017-11-07,11/07/2017 MUNICIPAL/GENERAL
2017-11-07,11/07/2017 MUNICIPAL/SCHOOL BD
2017-11-07,11/07/2017 MUNICIPALS
