county_desc,county_fips,election_date,election_desc,voters_voted,registered_active,turnout_rate
ALAMANCE,001,2022-11-08,11/08/2022 GENERAL,61052,104121,0.5863562585837632
ALEXANDER,002,2022-11-08,11/08/2022 GENERAL,15520,23338,0.6650098551718228
ALLEGHANY,003,2022-11-08,11/08/2022 GENERAL,5235,7343,0.7129238730763993
ANSON,004,2022-11-08,11/08/2022 GENERAL,7287,13007,0.5602367955716153
ASHE,005,2022-11-08,11/08/2022 GENERAL,12260,18364,0.6676105423654977
AVERY,006,2022-11-08,11/08/2022 GENERAL,6923,10424,0.6641404451266308
BEAUFORT,007,2022-11-08,11/08/2022 GENERAL,19304,30047,0.6424601457716245
BERTIE,008,2022-11-08,11/08/2022 GENERAL,6398,10423,0.6138347884486233
BLADEN,009,2022-11-08,11/08/2022 GENERAL,11939,19898,0.6000100512614334
BRUNSWICK,010,2022-11-08,11/08/2022 GENERAL,76705,127906,0.5996982158772849
BUNCOMBE,011,2022-11-08,11/08/2022 GENERAL,118971,181309,0.6561781268442273
BURKE,012,2022-11-08,11/08/2022 GENERAL,30386,51904,0.5854269420468557
CABARRUS,013,2022-11-08,11/08/2022 GENERAL,75371,139886,0.5388030253206182
CALDWELL,014,2022-11-08,11/08/2022 GENERAL,28334,48669,0.5821775668289877
CAMDEN,015,2022-11-08,11/08/2022 GENERAL,4334,7448,0.5819011815252417
CARTERET,016,2022-11-08,11/08/2022 GENERAL,33092,51407,0.6437255626665629
CASWELL,017,2022-11-08,11/08/2022 GENERAL,8299,13551,0.6124271271492879
CATAWBA,018,2022-11-08,11/08/2022 GENERAL,56709,101704,0.5575886887438055
CHATHAM,019,2022-11-08,11/08/2022 GENERAL,40410,57741,0.6998493271678703
CHEROKEE,020,2022-11-08,11/08/2022 GENERAL,12343,20942,0.5893897430999905
CHOWAN,021,2022-11-08,11/08/2022 GENERAL,5615,8804,0.6377782825988187
CLAY,022,2022-11-08,11/08/2022 GENERAL,5593,8874,0.6302681992337165
CLEVELAND,023,2022-11-08,11/08/2022 GENERAL,33369,60063,0.5555666550122371
COLUMBUS,024,2022-11-08,11/08/2022 GENERAL,19336,31851,0.6070767008885122
CRAVEN,025,2022-11-08,11/08/2022 GENERAL,37247,66850,0.55717277486911
CUMBERLAND,026,2022-11-08,11/08/2022 GENERAL,83042,176235,0.471200385848441
CURRITUCK,027,2022-11-08,11/08/2022 GENERAL,11634,21118,0.5509044417084952
DARE,028,2022-11-08,11/08/2022 GENERAL,17792,29132,0.610737333516408
DAVIDSON,029,2022-11-08,11/08/2022 GENERAL,60351,107449,0.5616711183910507
DAVIE,030,2022-11-08,11/08/2022 GENERAL,18547,30166,0.6148312669893258
DUPLIN,031,2022-11-08,11/08/2022 GENERAL,15370,27176,0.5655725640270827
DURHAM,032,2022-11-08,11/08/2022 GENERAL,127118,206135,0.6166735391854853
EDGECOMBE,033,2022-11-08,11/08/2022 GENERAL,15573,29800,0.5225838926174496
FORSYTH,034,2022-11-08,11/08/2022 GENERAL,134515,232751,0.5779352183234444
FRANKLIN,035,2022-11-08,11/08/2022 GENERAL,28694,49364,0.5812738027712503
GASTON,036,2022-11-08,11/08/2022 GENERAL,74482,137267,0.5426067445198045
GATES,037,2022-11-08,11/08/2022 GENERAL,4381,6818,0.6425638017013787
GRAHAM,038,2022-11-08,11/08/2022 GENERAL,3689,5496,0.6712154294032023
GRANVILLE,039,2022-11-08,11/08/2022 GENERAL,22460,35940,0.6249304396215916
GREENE,040,2022-11-08,11/08/2022 GENERAL,6063,9650,0.6282901554404146
GUILFORD,041,2022-11-08,11/08/2022 GENERAL,185717,328465,0.5654087954576591
HALIFAX,042,2022-11-08,11/08/2022 GENERAL,15663,28105,0.5573029710016011
HARNETT,043,2022-11-08,11/08/2022 GENERAL,38407,77329,0.4966700720298982
HAYWOOD,044,2022-11-08,11/08/2022 GENERAL,27181,42974,0.6324987201563737
HENDERSON,045,2022-11-08,11/08/2022 GENERAL,52051,79927,0.6512317489709359
HERTFORD,046,2022-11-08,11/08/2022 GENERAL,6690,11269,0.5936640340757832
HOKE,047,2022-11-08,11/08/2022 GENERAL,13239,29570,0.447717281028069
HYDE,048,2022-11-08,11/08/2022 GENERAL,1883,2692,0.6994799405646359
IREDELL,049,2022-11-08,11/08/2022 GENERAL,70281,130147,0.540012447463253
JACKSON,050,2022-11-08,11/08/2022 GENERAL,14924,25630,0.5822863831447522
JOHNSTON,051,2022-11-08,11/08/2022 GENERAL,78163,147334,0.5305156990239863
JONES,052,2022-11-08,11/08/2022 GENERAL,3921,6197,0.6327255123446829
LEE,053,2022-11-08,11/08/2022 GENERAL,19542,35208,0.5550443081117927
LENOIR,054,2022-11-08,11/08/2022 GENERAL,18712,32412,0.5773170430704677
LINCOLN,055,2022-11-08,11/08/2022 GENERAL,36772,62593,0.587477832984519
MACON,056,2022-11-08,11/08/2022 GENERAL,15990,25538,0.6261257733573499
MADISON,057,2022-11-08,11/08/2022 GENERAL,10360,15190,0.6820276497695853
MARTIN,058,2022-11-08,11/08/2022 GENERAL,8855,14415,0.614290669441554
MCDOWELL,059,2022-11-08,11/08/2022 GENERAL,16326,27243,0.5992732077964982
MECKLENBURG,060,2022-11-08,11/08/2022 GENERAL,354859,686093,0.5172170536647364
MITCHELL,061,2022-11-08,11/08/2022 GENERAL,6664,10068,0.6618990862137465
MONTGOMERY,062,2022-11-08,11/08/2022 GENERAL,8886,15081,0.5892182216033419
MOORE,063,2022-11-08,11/08/2022 GENERAL,42961,71522,0.6006683258298146
NASH,064,2022-11-08,11/08/2022 GENERAL,36083,60741,0.5940468546780593
NEW HANOVER,065,2022-11-08,11/08/2022 GENERAL,93888,158459,0.5925065789888867
NORTHAMPTON,066,2022-11-08,11/08/2022 GENERAL,6829,10776,0.6337230883444692
ONSLOW,067,2022-11-08,11/08/2022 GENERAL,44364,106767,0.41552164994801766
ORANGE,068,2022-11-08,11/08/2022 GENERAL,65253,97203,0.6713064411592234
PAMLICO,069,2022-11-08,11/08/2022 GENERAL,6292,9127,0.6893831488988715
PASQUOTANK,070,2022-11-08,11/08/2022 GENERAL,14196,25646,0.553536613896904
PENDER,071,2022-11-08,11/08/2022 GENERAL,24447,46005,0.5313987610042387
PERQUIMANS,072,2022-11-08,11/08/2022 GENERAL,5549,9008,0.6160079928952042
PERSON,073,2022-11-08,11/08/2022 GENERAL,15854,24614,0.6441049809051759
PITT,074,2022-11-08,11/08/2022 GENERAL,54989,105271,0.5223565844344596
POLK,075,2022-11-08,11/08/2022 GENERAL,9750,15037,0.6484006118241671
RANDOLPH,076,2022-11-08,11/08/2022 GENERAL,48684,86833,0.5606624209689864
RICHMOND,077,2022-11-08,11/08/2022 GENERAL,12728,24032,0.5296271637816246
ROBESON,078,2022-11-08,11/08/2022 GENERAL,27325,62455,0.4375150108077816
ROCKINGHAM,079,2022-11-08,11/08/2022 GENERAL,33231,55737,0.596210775606868
ROWAN,080,2022-11-08,11/08/2022 GENERAL,49037,87263,0.5619449251114447
RUTHERFORD,081,2022-11-08,11/08/2022 GENERAL,23801,40333,0.5901123149778097
SAMPSON,082,2022-11-08,11/08/2022 GENERAL,18024,32625,0.5524597701149425
SCOTLAND,083,2022-11-08,11/08/2022 GENERAL,9663,18454,0.5236263140782487
STANLY,084,2022-11-08,11/08/2022 GENERAL,24428,41712,0.5856348293057154
STOKES,085,2022-11-08,11/08/2022 GENERAL,18649,30418,0.6130909330001972
SURRY,086,2022-11-08,11/08/2022 GENERAL,24987,42718,0.5849290697130015
SWAIN,087,2022-11-08,11/08/2022 GENERAL,4846,8380,0.5782816229116945
TRANSYLVANIA,088,2022-11-08,11/08/2022 GENERAL,16299,23593,0.6908405035391854
TYRRELL,089,2022-11-08,11/08/2022 GENERAL,1295,1882,0.6880977683315622
UNION,090,2022-11-08,11/08/2022 GENERAL,90632,159531,0.5681152879377676
