election_date,county_desc,party_cd,race_code,ethnic_code,sex_code,age_group,registered_count,voted_count,turnout_rate
2025-11-04,CUMBERLAND,DEM,W,UN,F,Age Over 66,451,75,0.1662971175166297
2025-11-04,CATAWBA,REP,W,NL,M,Age 26 - 40,3039,87,0.028627838104639685
2025-11-04,SCOTLAND,UNA,I,UN,M,Age 41 - 65,30,1,0.03333333333333333
2025-11-04,CLEVELAND,REP,W,UN,M,Age 26 - 40,462,9,0.01948051948051948
2025-11-04,CATAWBA,LIB,W,NL,M,Age 41 - 65,89,7,0.07865168539325842
2025-11-04,MECKLENBURG,UNA,B,NL,F,Age Over 66,1428,581,0.4068627450980392
2025-11-04,NEW HANOVER,REP,U,UN,U,Age 26 - 40,1103,47,0.04261106074342702
2025-11-04,GUILFORD,REP,A,UN,F,Age Over 66,71,2,0.028169014084507043
2025-11-04,WAKE,UNA,W,NL,M,Age 41 - 65,34082,5425,0.15917493104864738
2025-11-04,GUILFORD,UNA,W,HL,M,Age 26 - 40,156,9,0.057692307692307696
2025-11-04,NASH,UNA,W,HL,F,Age 26 - 40,37,1,0.02702702702702703
2025-11-04,GASTON,UNA,U,UN,F,Age 41 - 65,204,21,0.10294117647058823
2025-11-04,CUMBERLAND,UNA,A,NL,F,Age 41 - 65,227,18,0.07929515418502203
2025-11-04,CHATHAM,DEM,M,HL,M,Age Over 66,3,1,0.3333333333333333
2025-11-04,ORANGE,LIB,W,NL,M,Age 26 - 40,68,1,0.014705882352941176
2025-11-04,GASTON,REP,B,NL,M,Age 26 - 40,155,5,0.03225806451612903
2025-11-04,WAKE,REP,A,UN,M,Age 41 - 65,415,58,0.13975903614457832
2025-11-04,CABARRUS,REP,O,HL,M,Age 18 - 25,155,1,0.0064516129032258064
2025-11-04,FORSYTH,DEM,O,NL,F,Age Over 66,64,3,0.046875
2025-11-04,DURHAM,UNA,W,HL,M,Age 41 - 65,128,18,0.140625
2025-11-04,FRANKLIN,DEM,B,NL,M,Age 18 - 25,219,6,0.0273972602739726
2025-11-04,DURHAM,REP,B,UN,M,Age 26 - 40,90,2,0.022222222222222223
2025-11-04,MECKLENBURG,DEM,O,HL,M,Age 18 - 25,1351,69,0.05107327905255366
2025-11-04,COLUMBUS,UNA,W,UN,M,Age 18 - 25,79,2,0.02531645569620253
2025-11-04,FORSYTH,REP,W,UN,F,Age 18 - 25,642,4,0.006230529595015576
2025-11-04,GUILFORD,UNA,W,NL,M,Age 41 - 65,11015,2199,0.19963685882886972
2025-11-04,ALAMANCE,DEM,O,HL,M,Age Over 66,56,4,0.07142857142857142
2025-11-04,CHEROKEE,REP,W,UN,M,Age 26 - 40,322,2,0.006211180124223602
2025-11-04,ALAMANCE,DEM,U,HL,M,Age 41 - 65,82,3,0.036585365853658534
2025-11-04,DAVIE,UNA,W,NL,M,Age 41 - 65,1163,27,0.023215821152192607
2025-11-04,WAYNE,REP,U,UN,M,Age 41 - 65,56,1,0.017857142857142856
2025-11-04,CUMBERLAND,UNA,B,NL,F,Age 41 - 65,2599,442,0.17006540977298962
2025-11-04,WAKE,UNA,W,UN,U,Age Over 66,189,28,0.14814814814814814
2025-11-04,CLEVELAND,DEM,U,UN,U,Age 26 - 40,282,7,0.024822695035460994
2025-11-04,WAKE,DEM,M,UN,M,Age 41 - 65,69,7,0.10144927536231885
2025-11-04,BLADEN,UNA,O,UN,F,Age 18 - 25,7,1,0.14285714285714285
2025-11-04,ORANGE,DEM,W,NL,M,Age 41 - 65,3274,701,0.21411117898594992
2025-11-04,CARTERET,UNA,U,UN,F,Age Over 66,39,8,0.20512820512820512
2025-11-04,FORSYTH,UNA,U,HL,F,Age 41 - 65,185,4,0.021621621621621623
2025-11-04,WILSON,UNA,B,NL,M,Age 18 - 25,230,2,0.008695652173913044
